latitude,longitude,mac,acctupdatetime,peso
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-15 22:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-16 19:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-16 20:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-16 21:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-16 22:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 14:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 15:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 17:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 19:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 20:00:00,11
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 21:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 22:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-17 23:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 00:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 01:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 14:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 15:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 16:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 17:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 18:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 19:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 20:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 21:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 22:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-18 23:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 00:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 01:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 02:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 17:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 18:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 19:00:00,19
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 20:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 21:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 22:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-19 23:00:00,4
